WasdeNumber,Region,Commodity,Attribute,ProjEstFlag,ReportDate,MarketYear,Value,Unit,ReleaseDate,ForecastYear,ForecastMonth
514,United States,Corn,Avg. Farm Price,Est.,January 2013,2011/12,6.22,$/bu,2013-01-11,2013,1
515,United States,Corn,Avg. Farm Price,Est.,February 2013,2011/12,6.22,$/bu,2013-02-08,2013,2
516,United States,Corn,Avg. Farm Price,Est.,March 2013,2011/12,6.22,$/bu,2013-03-08,2013,3
517,United States,Corn,Avg. Farm Price,Est.,April 2013,2011/12,6.22,$/bu,2013-04-10,2013,4
522,United States,Corn,Avg. Farm Price,Est.,September 2013,2012/13,6.9,$/bu,2013-09-12,2013,9
523,United States,Corn,Avg. Farm Price,Est.,November 2013,2012/13,6.89,$/bu,2013-11-08,2013,11
524,United States,Corn,Avg. Farm Price,Est.,December 2013,2012/13,6.89,$/bu,2013-12-10,2013,12
525,United States,Corn,Avg. Farm Price,Est.,January 2014,2012/13,6.89,$/bu,2014-01-10,2014,1
526,United States,Corn,Avg. Farm Price,Est.,February 2014,2012/13,6.89,$/bu,2014-02-10,2014,2
527,United States,Corn,Avg. Farm Price,Est.,March 2014,2012/13,6.89,$/bu,2014-03-10,2014,3
528,United States,Corn,Avg. Farm Price,Est.,April 2014,2012/13,6.89,$/bu,2014-04-09,2014,4
533,United States,Corn,Avg. Farm Price,Est.,September 2014,2013/14,4.45,$/bu,2014-09-11,2014,9
534,United States,Corn,Avg. Farm Price,Est.,October 2014,2013/14,4.46,$/bu,2014-10-10,2014,10
535,United States,Corn,Avg. Farm Price,Est.,November 2014,2013/14,4.46,$/bu,2014-11-10,2014,11
536,United States,Corn,Avg. Farm Price,Est.,December 2014,2013/14,4.46,$/bu,2014-12-10,2014,12
537,United States,Corn,Avg. Farm Price,Est.,January 2015,2013/14,4.46,$/bu,2015-01-12,2015,1
538,United States,Corn,Avg. Farm Price,Est.,February 2015,2013/14,4.46,$/bu,2015-02-10,2015,2
539,United States,Corn,Avg. Farm Price,Est.,March 2015,2013/14,4.46,$/bu,2015-03-10,2015,3
540,United States,Corn,Avg. Farm Price,Est.,April 2015,2013/14,4.46,$/bu,2015-04-09,2015,4
545,United States,Corn,Avg. Farm Price,Est.,September 2015,2014/15,3.68,$/bu,2015-09-11,2015,9
546,United States,Corn,Avg. Farm Price,Est.,October 2015,2014/15,3.7,$/bu,2015-10-09,2015,10
547,United States,Corn,Avg. Farm Price,Est.,November 2015,2014/15,3.7,$/bu,2015-11-10,2015,11
548,United States,Corn,Avg. Farm Price,Est.,December 2015,2014/15,3.7,$/bu,2015-12-09,2015,12
549,United States,Corn,Avg. Farm Price,Est.,January 2016,2014/15,3.7,$/bu,2016-01-12,2016,1
550,United States,Corn,Avg. Farm Price,Est.,February 2016,2014/15,3.7,$/bu,2016-02-09,2016,2
551,United States,Corn,Avg. Farm Price,Est.,March 2016,2014/15,3.7,$/bu,2016-03-09,2016,3
552,United States,Corn,Avg. Farm Price,Est.,April 2016,2014/15,3.7,$/bu,2016-04-12,2016,4
557,United States,Corn,Avg. Farm Price,Est.,September 2016,2015/16,3.6,$/bu,2016-09-12,2016,9
558,United States,Corn,Avg. Farm Price,Est.,October 2016,2015/16,3.61,$/bu,2016-10-12,2016,10
559,United States,Corn,Avg. Farm Price,Est.,November 2016,2015/16,3.61,$/bu,2016-11-09,2016,11
560,United States,Corn,Avg. Farm Price,Est.,December 2016,2015/16,3.61,$/bu,2016-12-09,2016,12
561,United States,Corn,Avg. Farm Price,Est.,January 2017,2015/16,3.61,$/bu,2017-01-12,2017,1
