WasdeNumber,Region,Commodity,Attribute,ProjEstFlag,ReportDate,MarketYear,Value,Unit,ReleaseDate,ForecastYear,ForecastMonth
514,United States,Corn,Production,Est.,January 2013,2011/12,12360.0,Million Bushels,2013-01-11,2013,1
515,United States,Corn,Production,Est.,February 2013,2011/12,12360.0,Million Bushels,2013-02-08,2013,2
516,United States,Corn,Production,Est.,March 2013,2011/12,12360.0,Million Bushels,2013-03-08,2013,3
517,United States,Corn,Production,Est.,April 2013,2011/12,12360.0,Million Bushels,2013-04-10,2013,4
518,United States,Corn,Production,Est.,May 2013,2012/13,10780.0,Million Bushels,2013-05-10,2013,5
519,United States,Corn,Production,Est.,June 2013,2012/13,10780.0,Million Bushels,2013-06-12,2013,6
520,United States,Corn,Production,Est.,July 2013,2012/13,10780.0,Million Bushels,2013-07-11,2013,7
521,United States,Corn,Production,Est.,August 2013,2012/13,10780.0,Million Bushels,2013-08-12,2013,8
522,United States,Corn,Production,Est.,September 2013,2012/13,10780.0,Million Bushels,2013-09-12,2013,9
523,United States,Corn,Production,Est.,November 2013,2012/13,10780.0,Million Bushels,2013-11-08,2013,11
524,United States,Corn,Production,Est.,December 2013,2012/13,10780.0,Million Bushels,2013-12-10,2013,12
525,United States,Corn,Production,Est.,January 2014,2012/13,10780.0,Million Bushels,2014-01-10,2014,1
526,United States,Corn,Production,Est.,February 2014,2012/13,10780.0,Million Bushels,2014-02-10,2014,2
527,United States,Corn,Production,Est.,March 2014,2012/13,10780.0,Million Bushels,2014-03-10,2014,3
528,United States,Corn,Production,Est.,April 2014,2012/13,10780.0,Million Bushels,2014-04-09,2014,4
529,United States,Corn,Production,Est.,May 2014,2013/14,13925.0,Million Bushels,2014-05-09,2014,5
530,United States,Corn,Production,Est.,June 2014,2013/14,13925.0,Million Bushels,2014-06-11,2014,6
531,United States,Corn,Production,Est.,July 2014,2013/14,13925.0,Million Bushels,2014-07-11,2014,7
532,United States,Corn,Production,Est.,August 2014,2013/14,13925.0,Million Bushels,2014-08-12,2014,8
533,United States,Corn,Production,Est.,September 2014,2013/14,13925.0,Million Bushels,2014-09-11,2014,9
534,United States,Corn,Production,Est.,October 2014,2013/14,13925.0,Million Bushels,2014-10-10,2014,10
535,United States,Corn,Production,Est.,November 2014,2013/14,13925.0,Million Bushels,2014-11-10,2014,11
536,United States,Corn,Production,Est.,December 2014,2013/14,13925.0,Million Bushels,2014-12-10,2014,12
537,United States,Corn,Production,Est.,January 2015,2013/14,13829.0,Million Bushels,2015-01-12,2015,1
538,United States,Corn,Production,Est.,February 2015,2013/14,13829.0,Million Bushels,2015-02-10,2015,2
539,United States,Corn,Production,Est.,March 2015,2013/14,13829.0,Million Bushels,2015-03-10,2015,3
540,United States,Corn,Production,Est.,April 2015,2013/14,13829.0,Million Bushels,2015-04-09,2015,4
541,United States,Corn,Production,Est.,May 2015,2014/15,14216.0,Million Bushels,2015-05-12,2015,5
542,United States,Corn,Production,Est.,June 2015,2014/15,14216.0,Million Bushels,2015-06-10,2015,6
543,United States,Corn,Production,Est.,July 2015,2014/15,14216.0,Million Bushels,2015-07-10,2015,7
544,United States,Corn,Production,Est.,August 2015,2014/15,14216.0,Million Bushels,2015-08-12,2015,8
545,United States,Corn,Production,Est.,September 2015,2014/15,14216.0,Million Bushels,2015-09-11,2015,9
546,United States,Corn,Production,Est.,October 2015,2014/15,14216.0,Million Bushels,2015-10-09,2015,10
547,United States,Corn,Production,Est.,November 2015,2014/15,14216.0,Million Bushels,2015-11-10,2015,11
548,United States,Corn,Production,Est.,December 2015,2014/15,14216.0,Million Bushels,2015-12-09,2015,12
